cluster_id,auto_label
1,"semiconductor, device, semiconductor device, method, device semiconductor"
2,"lighter, safety, resistant, gas lighter, gas"
3,"esd, protection, esd protection, circuit, method"
4,"silver, silver halide, halide, photographic, material"
5,"watermark, method, digital, apparatus, method apparatus"
6,"superconducting, superconductor, oxide, method, temperature"
7,"alternator, alternator alternator, voltage, vehicle, automotive alternator"
8,"solar, method, photovoltaic, module, cell"
9,"diamond, method, like, film, diamond like"
10,"electrochromic, devices, device, electrochromic devices, electrochromic device"
11,"diaper, disposable, disposable diaper, diapers, diapers disposable"
12,"candle, method, apparatus, filter, making"
13,"stapler, staple, staples, staple remover, remover"
15,"fuse, method, circuit, fuser, fuse method"
16,"echo, method, echo cancellation, cancellation, echo canceler"
17,"razor, shaving, shaver, electric, blade"
18,"asphalt, method, apparatus, polymer, modified"
19,"display, plasma display, plasma, panel, display panel"
20,"docking, computer, station, docking station, portable"
21,"integrated, circuit, semiconductor, integrated circuit, semiconductor integrated"
22,"welding, method, apparatus, welding apparatus, laser"
23,"friction, stir, friction stir, welding, stir welding"
24,"hood, vehicle hood, vehicle, apparatus, protection"
25,"sprinkler, sprinkler sprinkler, sprinkler head, pressure, head"
26,"method, calender, calendar, apparatus, method apparatus"
27,"game, method, playing, method playing, machine"
28,"nail, method, device, nailing, fungal"
29,"semiconductor, device, semiconductor device, method, device method"
30,"charge, pump, charge pump, voltage, circuit"
31,"fluorescent, fluorescence, method, detection, apparatus"
32,"fischer tropsch, fischer, tropsch, process, catalyst"
33,"radar, apparatus, radar apparatus, vehicle, doppler"
34,"honeycomb, method, body, honeycomb body, structure method"
35,"floral, method, having, flower, floral grouping"
36,"cigarette, smoke, apparatus, tobacco, method"
37,"sigma, delta, delta sigma, digital, analog"
38,"gasket, metal, gaskets, head, cylinder"
39,"fence, post, fence post, method, fencing"
40,"bar, code, bar code, method, scanning"
41,"hologram, holographic, method, apparatus, recording"
42,"shutter, camera, shutter camera, plane shutter, focal plane"
