cluster_id,auto_label,last_log_count,forecast_log_count,predicted_growth,last_date
998,"private, virtual, virtual private, network, private network",0.0,2.283,2.283,2025-10-01
538,"heat, sink, heat sink, method, assembly",0.0,1.99,1.99,2025-10-01
2347,"plants, plant, expression, transgenic, gene",0.0,1.559,1.559,2025-10-01
196,"medication, container, method, dispensing, pill",0.0,1.542,1.542,2025-10-01
708,"memory, access, random access, random, access memory",0.0,1.389,1.389,2025-10-01
1362,"voice, coil, voice coil, motor, coil motor",0.0,1.376,1.376,2025-10-01
1715,"vehicle, straddle, type, type vehicle, straddle type",0.0,1.187,1.187,2025-10-01
282,"generator, ac, method, ac generator, control",0.0,1.151,1.151,2025-10-01
1535,"device, light, display, source, light source",0.0,1.143,1.143,2025-10-01
2050,"air, conditioning, air conditioning, method, vehicle",1.386,2.52,1.134,2025-10-01
1217,"gastric, method, device, tissue, gastric tissue",0.0,1.119,1.119,2025-10-01
483,"internal, internal combustion, combustion, engine, combustion engine",0.0,1.099,1.099,2025-10-01
2278,"data, anonymizing, anonymization, data anonymization, anonymized",0.0,1.088,1.088,2025-10-01
1689,"liver, treating, methods, fatty, fatty liver",0.0,1.083,1.083,2025-10-01
1013,"refrigerator, dispenser, icemaker, ice, dispenser refrigerator",0.0,1.036,1.036,2025-10-01
1301,"nitric oxide, nitric, oxide, releasing, oxide releasing",0.0,1.036,1.036,2025-10-01
2110,"gutter, cover, gutter cover, device, systems",0.0,1.024,1.024,2025-10-01
2130,"buckle, device, buckle device, release, release buckle",0.0,0.948,0.948,2025-10-01
1470,"security, systems, method, computer, methods",0.0,0.889,0.889,2025-10-01
1650,"heat, pipe, heat pipe, method, loop",0.0,0.879,0.879,2025-10-01
2017,"rehabilitation, apparatus, training, methods, muscle",0.0,0.875,0.875,2025-10-01
817,"mram, method, device, mram device, configuration",1.099,1.966,0.868,2025-10-01
1118,"steam, steam generator, boiler, generator, method",0.0,0.865,0.865,2025-10-01
2314,"process, robotic, automation, process automation, robotic process",1.609,2.426,0.816,2025-10-01
1142,"pain, treating, treating pain, useful treating, therapeutic agents",0.0,0.807,0.807,2025-10-01
2028,"occupancy, detection, method, occupancy detection, occupancy sensing",0.0,0.792,0.792,2025-10-01
1438,"memory, error, correction, detection, method",0.0,0.79,0.79,2025-10-01
617,"phase, detector, phase detector, circuit, method",0.0,0.76,0.76,2025-10-01
612,"wafer, cleaning, apparatus, semiconductor, method",0.0,0.76,0.76,2025-10-01
1012,"belt, image, apparatus, image forming, forming",0.0,0.744,0.744,2025-10-01
866,"heat, heat sink, sink, assembly, sink assembly",0.0,0.738,0.738,2025-10-01
1680,"power, method, control, energy, methods",0.0,0.72,0.72,2025-10-01
820,"data, prefetch, prefetching, method, method prefetching",0.0,0.683,0.683,2025-10-01
992,"intrusion, detection, intrusion detection, method, network",0.0,0.678,0.678,2025-10-01
589,"polysaccharides, method, use, oligosaccharide, polysaccharide",0.0,0.643,0.643,2025-10-01
826,"plant, seed, plant seed, maize plant, hybrid",2.833,3.469,0.636,2025-10-01
1578,"proximity, sensor, proximity sensor, sensor proximity, device",0.0,0.635,0.635,2025-10-01
1459,"optimization, method, problems, linear, objective",0.0,0.627,0.627,2025-10-01
854,"bone, method, apparatus, prosthesis, joint",0.0,0.627,0.627,2025-10-01
973,"cartridge, process, image, apparatus, forming",0.0,0.592,0.592,2025-10-01
1626,"tissue, methods, method, samples, systems",0.0,0.589,0.589,2025-10-01
943,"plants, seeds, plants seeds, variety, corn",2.197,2.78,0.583,2025-10-01
594,"driver, circuit, output, driver circuit, output driver",0.0,0.572,0.572,2025-10-01
2219,"license, plate, license plate, method, device",0.0,0.571,0.571,2025-10-01
2142,"resuscitation, cpr, cardiopulmonary, compression, cardiopulmonary resuscitation",0.0,0.564,0.564,2025-10-01
53,"guidewire, core, wire, guidewire guidewire, guidewires",0.0,0.552,0.552,2025-10-01
553,"flip, flop, flip flop, circuit, flop circuit",0.693,1.214,0.52,2025-10-01
2201,"atm, automated, teller, method, automated teller",0.0,0.512,0.512,2025-10-01
2403,"ventilation, device, systems, vehicle, systems methods",1.099,1.608,0.509,2025-10-01
739,"joint, ball, ball joint, method, constant",0.0,0.498,0.498,2025-10-01
2058,"proteins, insecticidal, methods, use, insect",0.0,0.489,0.489,2025-10-01
2192,"molded, method, article, molded article, manufacturing",0.0,0.488,0.488,2025-10-01
567,"hydrogel, hydrogels, hydrogel forming, methods, compositions",0.0,0.487,0.487,2025-10-01
2132,"training, ball, sports, device, sports ball",0.0,0.48,0.48,2025-10-01
