cluster_id,auto_label,last_log_count,extrapolated_growth_5yr,last_date
827,"inbred, line, maize line, inbred maize, maize",4.174,6.671,2025-10-01
1858,"battery, assembly, structure, pack, battery pack",2.485,4.644,2025-10-01
1169,"maize, variety, maize variety, maize line, inbred maize",4.419,4.476,2025-10-01
1796,"injector, auto injector, auto, injector auto, end",2.944,3.523,2025-10-01
230,"electrophoresis, capillary, capillary electrophoresis, apparatus, method",2.398,3.222,2025-10-01
2412,"fusion, sensor, sensor fusion, data, data fusion",3.526,2.608,2025-10-01
1415,"communication, terminal, method, communication terminal, device",2.485,2.484,2025-10-01
1538,"gate, circuit, driver, gate driver, driving",2.773,2.275,2025-10-01
1567,"microphone, mems, mems microphone, method, packaging",2.708,2.21,2025-10-01
140,"fishing, reel, rod, fishing rod, mechanism",3.091,2.068,2025-10-01
225,"snow, method, apparatus, apparatus method, snow ice",2.303,1.888,2025-10-01
374,"toner, image, method, apparatus, electrostatic",2.485,1.884,2025-10-01
195,"toy, amusement, apparatus, ride, installation",3.497,1.836,2025-10-01
1801,"liquid, head, ejecting, liquid ejecting, method",2.398,1.783,2025-10-01
2100,"battery, battery battery, device battery, device, battery device",2.303,1.723,2025-10-01
1316,"inverter, inverter inverter, method, circuit, ended",2.944,1.675,2025-10-01
861,"optical, filter, optical filter, method, filters",2.708,1.65,2025-10-01
1284,"anastomosis, apparatus, method, methods, forming",2.197,1.589,2025-10-01
1739,"specimen, method, apparatus, apparatus specimen, analyzing",2.708,1.473,2025-10-01
1230,"power, method, energy, generating, methods",2.079,1.34,2025-10-01
1548,"information, display, information display, method, apparatus",2.639,1.339,2025-10-01
2177,"assembly, display, screen, display assembly, screen assembly",2.303,1.289,2025-10-01
2266,"regulator, voltage, voltage regulator, low, low dropout",2.639,1.283,2025-10-01
1420,"vehicle, driving, assistance, method, assist",2.639,1.253,2025-10-01
1611,"apparatus, methods, method, associated methods, apparatus associated",2.197,1.247,2025-10-01
2249,"display, control, display control, medium, method",2.89,1.226,2025-10-01
2350,"homomorphic, encryption, homomorphic encryption, method, data",2.996,1.186,2025-10-01
