cluster_id,x,y,z
1,9.365063,8.788173,2.1546004
2,6.093295,8.624122,2.9124246
3,8.786691,6.5049825,3.0050929
4,10.261899,9.471769,4.5891204
5,10.328663,5.5139327,4.7713237
6,8.142123,7.53784,2.7374086
7,8.29938,5.5627904,3.5634136
8,9.518717,8.5958185,2.5527287
9,8.612227,9.11623,3.2999995
10,7.803926,8.507921,2.2415905
11,7.1545963,8.177537,4.668211
12,11.109131,10.222085,3.7333207
13,6.9594502,7.8453298,4.909211
15,8.597396,6.553677,3.060153
16,11.932823,6.0991435,3.6945832
17,7.4533553,8.00542,4.1232796
18,7.011396,9.189056,3.6018429
19,10.796791,8.801735,3.2105656
20,8.098964,8.141059,4.3779917
21,9.297781,8.17418,2.5052361
22,8.191515,7.767831,3.2089715
23,7.343986,6.9291034,4.0993004
24,8.320472,6.998479,4.588239
25,6.430179,8.108593,3.8637512
26,10.608937,5.450908,4.3211427
27,10.747519,5.50943,4.8965154
28,7.26952,7.666719,4.431392
29,9.503402,8.773803,2.6855865
30,6.1886525,7.695636,3.4636252
31,10.6234455,9.974244,3.618043
32,6.5156975,9.637615,3.3615522
33,9.880148,4.8412504,2.4938838
34,8.357081,8.805161,3.765635
35,7.582248,8.541075,4.254824
36,6.7298203,8.316084,2.5970166
37,9.993824,5.1465898,2.2564006
38,6.8277473,7.211265,3.214474
39,7.863466,7.2239985,4.3643045
40,11.53159,6.6584744,4.5404162
41,10.717233,8.797484,4.362227
42,11.235989,7.9578424,4.974301
43,8.072375,7.2359757,4.6725645
44,9.589238,6.9017277,4.32818
45,11.559334,9.034972,4.895886
46,5.259119,11.8471365,5.6767087
47,5.2299414,11.87614,5.7015557
48,8.03262,7.6574273,4.0663133
49,9.041262,6.988357,3.6676111
50,8.793774,6.3024144,3.0006142
51,7.32445,8.262427,4.139586
52,6.6798778,7.5128913,1.986485
53,8.360201,7.1695685,2.730617
54,11.798318,8.546587,4.535237
55,7.224627,8.373495,4.407062
56,11.109418,7.4886885,4.8739886
57,10.319703,6.7832727,4.006639
58,11.1355505,7.5428834,4.864001
59,10.277155,7.3531566,2.7379417
60,9.949797,6.3628144,4.83849
61,9.426577,5.8204174,4.7044373
62,6.5214186,8.019893,3.9258258
63,9.7894335,6.8683968,4.5767345
64,6.764975,8.144781,3.4060543
65,11.902052,8.645242,5.033059
66,9.726906,6.8368196,4.372971
67,7.869552,6.684446,4.0144744
68,7.885831,7.7627406,3.6998007
69,6.505458,10.244413,4.4854264
71,7.478473,7.5259852,4.7083373
72,7.8830767,6.663008,4.6263165
74,10.302524,6.857036,2.228356
75,8.000095,7.629207,4.4043355
76,7.7034225,8.529521,2.2582552
77,5.967106,8.78888,2.944671
78,10.353129,8.289206,4.8610506
79,7.6125116,7.0296726,3.6930373
80,7.3247514,8.485681,3.2502925
82,11.407138,9.441544,4.7738743
83,11.342647,9.412083,4.8881907
84,6.6031413,8.383279,5.124955
85,10.629671,9.568395,3.133378
86,10.668893,9.016677,2.867338
87,10.847469,9.24822,2.7575085
88,7.0062103,8.079904,4.837721
89,10.890828,9.304337,2.747844
90,7.9900537,7.613437,3.976441
91,6.6217465,8.340488,3.9119384
92,10.862554,9.222361,2.7142901
93,10.88912,9.269131,2.800375
94,11.054366,9.2313175,3.9931364
95,7.7273192,6.827278,4.038918
96,7.994163,9.600858,3.4299574
97,7.4123483,9.19437,3.63578
98,8.39868,5.6350594,4.0841856
99,10.311957,8.982734,4.3609347
100,10.297111,9.087244,3.9415655
101,10.254978,9.063408,3.9816813
103,10.1981735,9.313015,4.706284
104,10.301974,9.424737,4.561423
105,10.308092,9.375434,4.618407
106,10.447564,9.047398,4.034391
107,10.39888,8.943049,4.154502
108,10.575468,9.535617,3.7013185
111,10.076466,8.792457,4.509195
113,10.318418,8.919625,4.5663238
114,10.832094,8.899334,4.4003468
115,11.199278,8.23962,4.908365
116,10.437718,9.221657,4.0277734
118,10.43901,9.202938,3.8413157
119,10.427297,9.129969,3.9569216
120,8.398682,8.877553,4.120649
121,9.253922,8.927481,2.862437
122,7.7284665,5.9702125,4.266434
123,8.231198,5.7402773,4.116936
124,6.378194,7.5550075,3.84235
