subfield_id,subfield,field,domain,works_count,description
2202,Aerospace Engineering,Engineering,Physical Sciences,27260291,branch of engineering
3312,Sociology and Political Science,Social Sciences,Social Sciences,15053076,academic disciplines concerned with society and the relationships between individuals in society
3106,Nuclear and High Energy Physics,Physics and Astronomy,Physical Sciences,12338455,physics of elementary particles at high energies
1312,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,10861508,branch of biology that deals with the molecular basis of biological activity
2002,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,10747608,"social science that studies the production, distribution, and consumption of goods and services"
1110,Plant Science,Agricultural and Biological Sciences,Life Sciences,10659754,science of plant life
2208,Electrical and Electronic Engineering,Engineering,Physical Sciences,10630428,"electrical engineering discipline which utilizes nonlinear and active electrical components to design electronic circuits, devices, and their systems"
3320,Political Science and International Relations,Social Sciences,Social Sciences,10005824,academic discipline
1702,Artificial Intelligence,Computer Science,Physical Sciences,9520739,field of computer science and engineering practices for intelligence demonstrated by machines and intelligent agents
3304,Education,Social Sciences,Social Sciences,9218873,transmission of knowledge and skills
2746,Surgery,Medicine,Health Sciences,5935403,medical specialty
2505,Materials Chemistry,Materials Science,Physical Sciences,5508294,"study of the synthesis, structure, and properties of solid phase materials"
1202,History,Arts and Humanities,Social Sciences,5045054,past events and their tracks or records
3103,Astronomy and Astrophysics,Physics and Astronomy,Physical Sciences,4685896,scientific study of celestial objects and phenomena
1208,Literature and Literary Theory,Arts and Humanities,Social Sciences,4525003,"polysemous term referring to a written art form, and the set of all literary works"
1710,Information Systems,Computer Science,Physical Sciences,4439395,academic study of systems with a specific reference to information and the complementary networks of hardware and software that people and organizations use to 
2204,Biomedical Engineering,Engineering,Physical Sciences,4432984,application of engineering principles and design concepts to medicine and biology
3600,General Health Professions,Health Professions,Health Sciences,4405621,type of profession
3107,"Atomic and Molecular Physics, and Optics",Physics and Astronomy,Physical Sciences,4347247,branch of physics
2210,Mechanical Engineering,Engineering,Physical Sciences,4323299,engineering discipline
2739,"Public Health, Environmental and Occupational Health",Medicine,Health Sciences,4239360,"science and art of preventing disease, prolonging life and promoting health through organized efforts and informed choices of society, organizations, public and"
1211,Philosophy,Arts and Humanities,Social Sciences,3875211,"study of the truths and principles of being, knowledge, or conduct"
1105,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,Life Sciences,3864480,scientific study of the relationships between living organisms
1311,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,3813685,"science of genes, heredity, and variation in living organisms"
2713,Epidemiology,Medicine,Health Sciences,3750777,"study of the patterns, causes, and effects of health and disease conditions"
2740,Pulmonary and Respiratory Medicine,Medicine,Health Sciences,3750015,"branch of medicine concerned with the diagnosis, treatment, and prevention of diseases affecting the lungs and respiratory system, including asthma, COPD, and p"
2735,"Pediatrics, Perinatology and Child Health",Medicine,Health Sciences,3738082,field of medicine dealing with the care of children
2303,Ecology,Environmental Science,Physical Sciences,3563392,scientific study of the relationships between living organisms
1605,Organic Chemistry,Chemistry,Physical Sciences,3539769,"subdiscipline within chemistry involving the scientific study of carbon-based compounds, hydrocarbons, and their derivatives"
1204,Archeology,Arts and Humanities,Social Sciences,3086148,study of the past via material culture
3203,Clinical Psychology,Psychology,Social Sciences,3065345,integration of science and clinical knowledge for the purpose of relieving psychologically based dysfunction
2205,Civil and Structural Engineering,Engineering,Physical Sciences,2867457,"engineering discipline specializing in design, construction and maintenance of the built environment"
1705,Computer Networks and Communications,Computer Science,Physical Sciences,2757062,network that allows computers to share resources and communicate with each other
1408,Strategy and Management,"Business, Management and Accounting",Social Sciences,2749954,high-level plan to achieve objectives in uncertain conditions
2207,Control and Systems Engineering,Engineering,Physical Sciences,2737346,"engineering discipline that applies control theory to design systems with desired behaviors, focusing on the development and implementation of control systems i"
3308,Law,Social Sciences,Social Sciences,2736647,"system of rules and guidelines, generally backed by governmental authority"
3207,Social Psychology,Psychology,Social Sciences,2685440,"scientific study of social effects on people's thoughts, feelings, and behaviors"
3314,Anthropology,Social Sciences,Social Sciences,2664920,"scientific study of humans, human behavior, and societies"
1203,Language and Linguistics,Arts and Humanities,Social Sciences,2649224,structured system of communication
