topic_id,topic,subfield,field,domain,works_count,keywords,description
T14423,Military Technology and Strategies,Aerospace Engineering,Engineering,Physical Sciences,22341582,Air Force; Modernization; Warfare; Unmanned Aerial Vehicles; Radar Systems; Military Communication; Electronic Components; Strategic Planning; Foresight; Design,"This cluster of papers covers various aspects related to the modernization and development of air force capabilities, including the use of unmanned aerial vehic"
T10346,Magnetic confinement fusion research,Nuclear and High Energy Physics,Physics and Astronomy,Physical Sciences,9281244,Turbulence; Tokamak; Transport; MHD Stability; Edge Localized Modes; Zonal Flows; Confinement; Neoclassical Tearing Modes; Energetic Particles; Diagnostics,"This cluster of papers covers a wide range of topics in plasma physics and fusion research, including turbulence, transport, MHD stability, edge localized modes"
T13370,Diverse Scientific and Economic Studies,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,5048251,Financial Analysis; Monetary Policy; Asset Pricing; Panel Data Models; Economic Evaluation; Stock Prices; Market Competition; Investment Contracts; Macroeconomic Time Series; Fiscal Stabilizations,"This cluster of papers covers topics related to dynamic economic modeling, financial analysis, monetary policy, asset pricing, panel data models, market competi"
T12157,Geochemistry and Geologic Mapping,Artificial Intelligence,Computer Science,Physical Sciences,3956379,Machine Learning; Mineral Prospectivity; Remote Sensing; Compositional Data Analysis; Geological Mapping; Hyperspectral Imaging; Support Vector Machines; Fractal Modeling; Geochemical Anomalies; Litho,"This cluster of papers focuses on the application of machine learning, remote sensing, and compositional data analysis techniques for mineral prospectivity mapp"
T10451,Mycorrhizal Fungi and Plant Interactions,Plant Science,Agricultural and Biological Sciences,Life Sciences,3217749,Mycorrhizal Fungi; Fungal Diversity; Plant Interactions; Soil Biota; Symbiotic Relationships; Ecosystem Functioning; DNA Barcoding; Community Structure; Nutrient Cycling; Environmental Sequencing,"This cluster of papers explores the diverse interactions between mycorrhizal fungi and plants, including their role in nutrient cycling, soil biota, and ecosyst"
T10978,Prenatal Screening and Diagnostics,"Pediatrics, Perinatology and Child Health",Medicine,Health Sciences,1675341,Prenatal Diagnosis; Aneuploidy Screening; Maternal Plasma DNA Sequencing; Noninvasive Prenatal Testing; Chromosomal Abnormalities; Preimplantation Genetic Diagnosis; Fetal DNA Analysis; Cell-Free DNA;,"This cluster of papers focuses on the various techniques and methods for diagnosing and screening prenatal aneuploidy, including the use of maternal plasma DNA "
T11367,Particle accelerators and beam dynamics,Aerospace Engineering,Engineering,Physical Sciences,1474520,Superconducting Cavities; Negative Ion Sources; Neutral Beam Injection; RF Source Development; Particle-in-Cell Simulations; High Energy Density Physics; Plasma Diagnostics; Magnetic Fusion; Ion Beam ,"This cluster of papers focuses on advancements in accelerator technology, particularly in the development of superconducting cavities, negative ion sources, and"
T10895,Species Distribution and Climate Change,Ecological Modeling,Environmental Science,Physical Sciences,1386102,Species Distribution Modeling; Climate Change; Ecological Niche; MaxEnt; Biodiversity; Citizen Science; Habitat Suitability; Model Evaluation; Range Shifts; Conservation Biology,"This cluster of papers focuses on species distribution modeling in the context of climate change impacts, utilizing methods such as MaxEnt and ecological niche "
T12859,Cell Image Analysis Techniques,Biophysics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,1178144,Bioimage Analysis; High-Content Screening; Microscopy; Machine Learning; Cellular Imaging; Neuronal Morphology; Automated Analysis; Deep Learning; Image Processing; Phenotypic Profiling,"This cluster of papers covers advanced techniques and tools in bioimage analysis, microscopy, and high-content screening. It includes topics such as machine lea"
T12692,Magnetic Field Sensors Techniques,Electrical and Electronic Engineering,Engineering,Physical Sciences,1018107,Magnetic Sensors; Fluxgate Sensors; Hall-effect Sensors; Rogowski Coils; Current Sensing; Micro-fluxgate Sensors; Giant Magnetoresistance Effect; Space-based Magnetometers; Integrated Sensor Technolog,"This cluster of papers covers advances in magnetic sensor technology, including fluxgate sensors, Hall-effect sensors, Rogowski coils, and micro-fluxgate sensor"
